© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	1.52E-02	NaN	NFKBIA	
MSP-RON Signaling Pathway	-0E00	1.72E-02	NaN	JAK2	
OX40 Signaling Pathway	-0E00	1.25E-02	NaN	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,NFKBIA	
P2Y Purigenic Receptor Signaling Pathway	-0E00	1.5E-02	NaN	GNG5,PDIA3	
Cyclins and Cell Cycle Regulation	-0E00	1.19E-02	NaN	CDKN1A	
Spliceosomal Cycle	-0E00	2.04E-02	NaN	BCAS2	
Role of IL-17A in Arthritis	-0E00	1.75E-02	NaN	NFKBIA	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	2.13E-02	NaN	IL6	
NGF Signaling	-0E00	8.33E-03	NaN	PTPN11	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.26E-03	NaN	IL6	
ERBB Signaling	-0E00	2.13E-02	NaN	EGF,HBEGF	
GADD45 Signaling	-0E00	1.67E-02	NaN	CDKN1A	
GDNF Family Ligand-Receptor Interactions	-0E00	1.32E-02	NaN	ITPR1	
Netrin Signaling	-0E00	1.39E-02	NaN	ITPR1	
Heparan Sulfate Biosynthesis	-0E00	1.14E-02	NaN	HS2ST1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1.23E-02	NaN	HS2ST1	
Triacylglycerol Degradation	-0E00	1.69E-02	NaN	LPL	
Chondroitin Sulfate Biosynthesis	-0E00	1.72E-02	NaN	HS2ST1	
Dermatan Sulfate Biosynthesis	-0E00	1.67E-02	NaN	HS2ST1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	2.13E-02	NaN	HS2ST1	
Superpathway of Inositol Phosphate Compounds	-0E00	2.11E-02	1.000	DUSP16,PPP1CA,PPP1R10,PTPN1,PTPN11	
Retinol Biosynthesis	-0E00	2.13E-02	NaN	LPL	
Triacylglycerol Biosynthesis	-0E00	1.96E-02	NaN	ABHD5	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	1.02E-02	NaN	NME2	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	2E-02	NaN	HS2ST1	
Stearate Biosynthesis I (Animals)	-0E00	1.54E-02	NaN	ACSL4	
Oxidative Ethanol Degradation III	-0E00	1.79E-02	NaN	ACSS1	
Gαi Signaling	-0E00	1.43E-02	NaN	GNAS,GNG5	
PEDF Signaling	-0E00	1.19E-02	NaN	NFKBIA	
TEC Kinase Signaling	-0E00	1.21E-02	0.447	FNBP1,GNAS,GNG5,ITGA6,ITGB1,JAK1,JAK2	
UVA-Induced MAPK Signaling	-0E00	2.04E-02	NaN	PDIA3,TNKS	
UVB-Induced MAPK Signaling	-0E00	1.92E-02	NaN	H3-3A/H3-3B	
WNT/Ca+ pathway	-0E00	1.52E-02	NaN	PDIA3	
SAPK/JNK Signaling	-0E00	1.99E-03	NaN	GNG5	
Amyloid Processing	-0E00	1.96E-02	NaN	APP	
B Cell Receptor Signaling	-0E00	6.34E-03	2.000	EGR1,MALT1,NFKBIA,PTPN11	
Chemokine Signaling	-0E00	1.25E-02	NaN	MPRIP	
Neurotrophin/TRK Signaling	-0E00	1.28E-02	NaN	PTPN11	
cAMP-mediated signaling	-0E00	1.7E-02	NaN	ADRB2,AKAP1,AKAP11,GNAS	
Glutamate Receptor Signaling	-0E00	1.52E-02	NaN	GNG5	
TGF-β Signaling	-0E00	2.08E-02	NaN	BMPR2,SKI	
NF-κB Signaling	-0E00	1.05E-02	1.633	BMPR2,EGF,IL33,MALT1,NFKBIA,TNFRSF1A	
T Cell Receptor Signaling	-0E00	1.63E-02	1.000	HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,ITGB1,MALT1,NFKBIA,PTPN11	
G-Protein Coupled Receptor Signaling	-0E00	8.53E-03	0.000	ADRB2,GNAS,GNG5,MYL6,NFKBIA,WWTR1	
BMP signaling pathway	-0E00	1.15E-02	NaN	BMPR2	
Gustation Pathway	-0E00	1.48E-02	NaN	ITPR1,LPL,LRRC8C	
Phagosome Formation	-0E00	1.45E-02	0.632	ADRB2,ITGA6,ITGB1,ITPR1,MALT1,MYH7,MYH9,MYL6,PLA2G1B,TLN1	
Opioid Signaling Pathway	-0E00	1.43E-02	-1.000	GNAS,GNG5,ITPR1,NFKBIA	
Adrenomedullin signaling pathway	-0E00	2.01E-02	1.000	GNAS,IL33,ITPR1,PDIA3	
Th17 Activation Pathway	-0E00	1.03E-02	0.447	HSP90AB1,HSP90B1,IL6,JAK1,JAK2	
Endocannabinoid Neuronal Synapse Pathway	-0E00	2.01E-02	NaN	GNG5,ITPR1,PDIA3	
Endocannabinoid Developing Neuron Pathway	-0E00	7.87E-03	NaN	GNG5	
Apelin Endothelial Signaling Pathway	-0E00	2.13E-02	NaN	GNAS,GNG5,ICAM1	
T Cell Exhaustion Signaling Pathway	-0E00	1.94E-02	2.449	BMPR2,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL6,JAK1,JAK2,PTPN11,VEGFA	
Synaptogenesis Signaling Pathway	-0E00	1.26E-02	2.000	CTNND1,ITPR1,NECTIN3,TLN1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	1.56E-02	3.162	EZR,FNBP1,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,IL6,ITPR1,MSN	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00	1.11E-02	2.121	IL33,IL6,IL6ST,JAK1,JAK2,MALT1,MCL1,PTPN11	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	-0E00	1.15E-02	NaN	APC	
