© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
NUR77 Signaling in T Lymphocytes	-0E00	1.17E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	1.22E-02	NaN	PLA2G1B	
OX40 Signaling Pathway	-0E00	1.67E-02	NaN	HLA-A,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,JUN,NFKBIA	
Cyclins and Cell Cycle Regulation	-0E00	1.19E-02	NaN	CDKN1A	
NGF Signaling	-0E00	8.33E-03	NaN	PTPN11	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.26E-03	NaN	IL6	
ERB2-ERBB3 Signaling	-0E00	1.54E-02	NaN	JUN	
GADD45 Signaling	-0E00	1.67E-02	NaN	CDKN1A	
Netrin Signaling	-0E00	1.39E-02	NaN	ITPR1	
Heparan Sulfate Biosynthesis	-0E00	1.14E-02	NaN	HS2ST1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1.23E-02	NaN	HS2ST1	
Dermatan Sulfate Biosynthesis	-0E00	1.67E-02	NaN	HS2ST1	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	1.02E-02	NaN	NME2	
Stearate Biosynthesis I (Animals)	-0E00	1.54E-02	NaN	ACSL4	
Gαi Signaling	-0E00	1.43E-02	NaN	GNAI2,GNAS	
PEDF Signaling	-0E00	1.19E-02	NaN	NFKBIA	
TEC Kinase Signaling	-0E00	1.21E-02	0.816	ACTG1,FOS,GNAI2,GNAS,ITGB1,JAK2,RHOB	
WNT/Ca+ pathway	-0E00	1.52E-02	NaN	PDIA3	
SAPK/JNK Signaling	-0E00	1.99E-03	NaN	JUN	
B Cell Receptor Signaling	-0E00	7.92E-03	2.236	EGR1,JUN,MALT1,NFKBIA,PTPN11	
Dopamine Receptor Signaling	-0E00	1.27E-02	NaN	PPP1R10	
NF-κB Signaling	-0E00	1.23E-02	1.134	BMPR2,EGF,FGFR2,IL33,MALT1,NFKBIA,TNFRSF1A	
G-Protein Coupled Receptor Signaling	-0E00	9.96E-03	1.890	ADRB2,FOS,GNAI2,GNAS,JUN,NFKBIA,WWTR1	
Phagosome Formation	-0E00	1.3E-02	0.333	ADRB2,CD36,ITGB1,ITPR1,MALT1,MYH7,MYH9,PLA2G1B,TLN1	
Th17 Activation Pathway	-0E00	8.26E-03	0.000	HSP90AB1,HSP90B1,IL6,JAK2	
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0E00	9.71E-03	NaN	H3-3A/H3-3B	
Endocannabinoid Developing Neuron Pathway	-0E00	7.87E-03	NaN	GNAI2	
Synaptogenesis Signaling Pathway	-0E00	1.58E-02	2.236	CTNND1,HSPA8,ITPR1,NECTIN3,TLN1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00	1.24E-02	2.333	FOS,IL33,IL6,IL6ST,JAK2,JUN,MALT1,MCL1,PTPN11	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	1.24E-02	NaN	SFN,TNFRSF1A	
Semaphorin Neuronal Repulsive Signaling Pathway	-0E00	6.62E-03	NaN	ITGB1	
Kinetochore Metaphase Signaling Pathway	-0E00	9.01E-03	NaN	PPP1R10	
